Brazil
2,DF,Yumi Tomei,6 January 1972 (23),,,
3,DF,Rie Yamaki,10 February 1975 (20),,,
4,DF,Maki Haneta,30 September 1972 (22),,,
5,DF,Ryoko Uno,11 September 1975 (19),,,
6,DF,Kae Nishina,12 July 1972 (22),,,
7,MF,Homare Sawa,9 June 1978 (16),,,
8,MF,Asako Takakura,19 April 1968 (27),,,
9,MF,Futaba Kioka,22 November 1965 (29),,,
10,FW,Akemi Noda,13 October 1969 (25),,,
11,MF,Etsuko Handa,5 October 1965 (29),,,
12,DF,Yumi Obe,15 February 1975 (20),,,
13,MF,Kaori Nagamine,6 March 1968 (27),,,
14,DF,Kaoru Kadohara,25 May 1970 (25),,,
15,FW,Tsuru Morimoto,9 November 1970 (24),,,
16,MF,Nami Otake,30 July 1974 (20),,,
17,FW,Tamaki Uchiyama,13 December 1972 (22),,,
18,FW,Inesu Emiko Takeoka,1 May 1971 (24),,,
19,GK,Shiho Onodera,18 November 1973 (21),,,
20,GK,Megumi Sakata,18 October 1971 (23),,,

Sweden
1,GK,Elisabeth Leidinge,6 March 1957 (38),107,0,Sweden Malmö
2,DF,Malin Lundgren,9 March 1967 (28),57,6,Sweden Malmö
3,DF,Åsa Jakobsson,2 June 1966 (29),37,0,Sweden Gideonsbergs IF
4,DF,Pia Sundhage,13 February 1960 (35),123,62,Sweden Hammarby IF
5,DF,Kristin Bengtsson,12 January 1970 (25),29,1,Sweden Hammarby IF
6,MF,Anna Pohjanen,25 January 1974 (21),7,0,Sweden Sunnanå SK
7,MF,Lena Videkull,9 December 1962 (32),98,59,Sweden Malmö
8,MF,Susanne Hedberg,26 June 1972 (22),53,7,Sweden Gideonsbergs IF
9,MF,Malin Andersson,5 April 1973 (22),17,6,Sweden Alvsjö AIK
10,FW,Anneli Andelén,21 June 1968 (26),79,35,Sweden Öxabäck/Mark IF
11,FW,Ulrika Kalte,19 May 1970 (25),35,16,Sweden Alvsjö AIK
12,GK,Annelie Nilsson,14 June 1971 (23),14,0,Sweden Sunnanå SK
13,DF,Annika Nessvold,24 February 1971 (24),17,3,Sweden Malmö
14,MF,Åsa Lönnqvist,14 April 1970 (25),17,0,Sweden Tyresö FF
15,MF,Anneli Olsson,7 February 1967 (28),10,2,Sweden Hammarby IF
16,MF,Eva Zeikfalvy,18 April 1967 (28),58,2,Sweden Malmö
17,MF,Malin Flink,4 September 1974 (20),1,0,Sweden Gideonsbergs IF
18,FW,Helen Nilsson,24 November 1970 (24),33,6,Sweden Gideonsbergs IF
19,FW,Anika Bozicevic,8 November 1972 (22),2,0,Sweden Malmö
20,MF,Sofia Johansson,5 September 1969 (25),5,1,Sweden Malmö

Canada
1,GK,Wendy Hawthorne,6 July 1960 (34),,,
2,FW,Helen Stoumbos,18 October 1970 (24),,,
3,FW,Charmaine Hooper,15 January 1968 (27),,,
4,DF,Michelle Ring,28 November 1967 (27),,,
5,DF,Andrea Neil,26 October 1971 (23),,,
6,MF,Geri Donnelly,30 November 1965 (29),,,
7,FW,Isabelle Morneau,18 April 1976 (19),,,
8,DF,Nicole Sedgwick,19 January 1974 (21),,,
9,DF,Janine Helland,24 April 1970 (25),,,
10,MF,Veronica O'Brien,29 January 1971 (24),,,
11,MF,Annie Caron,5 June 1964 (31),,,
12,MF,Joan McEachern,4 December 1963 (31),,,
13,MF,Angela Kelly,10 March 1971 (24),,,
14,DF,Cathy Ross,19 November 1967 (27),,,
15,DF,Suzanne Muir,7 June 1970 (24),,,
16,DF,Luce Mongrain,1 November 1971 (23),,,
17,FW,Silvana Burtini,5 October 1969 (25),,,
18,GK,Carla Chin,5 October 1966 (28),,,
19,MF,Suzanne Gerrior,4 April 1973 (22),,,
20,GK,Tania Singfield,9 February 1970 (25),,,

England
1,GK,Pauline Cope,16 February 1969 (26),,,England Arsenal Ladies
2,MF,Hope Powell,8 December 1966 (28),,,England Croydon Women
3,DF,Tina Mapes,21 January 1971 (24),,,England Croydon Women
4,DF,Samantha Britton,8 December 1973 (21),,,England Arsenal Ladies
5,DF,Clare Taylor,22 May 1965 (30),,,England Liverpool Ladies
6,MF,Gillian Coultard,22 July 1963 (31),,,England Doncaster Belles
7,MF,Marieanne Spacey,13 February 1966 (29),,,England Arsenal Ladies
8,MF,Debbie Bampton,7 October 1961 (33),,,England Croydon Women
9,FW,Karen Farley,2 September 1970 (24),,,Sweden Hammarby IF
10,MF,Karen Burke,14 June 1971 (23),,,England Liverpool Ladies
11,DF,Brenda Sempare,9 November 1961 (33),,,England Croydon Women
12,MF,Kerry Davis,8 February 1962 (33),,,England Croydon Women
13,GK,Lesley Higgs,25 October 1965 (29),,,England Wembley Ladies
14,FW,Karen Walker,29 July 1969 (25),,,England Doncaster Belles
15,MF,Sian Williams,2 February 1968 (27),,,England Arsenal Ladies
16,DF,Donna Smith,17 January 1967 (28),,,England Croydon Women
17,DF,Louise Waller,30 July 1969 (25),,,England Millwall Lionesses
18,DF,Mary Phillip,14 March 1977 (18),,,England Millwall Lionesses
19,DF,Julie Fletcher,28 September 1974 (20),,,England Millwall Lionesses
20,MF,Becky Easton,16 April 1974 (21),,,England Liverpool Ladies

Nigeria
1,GK,Ann Chiejine,2 February 1974 (21),,,
2,DF,Florence Omagbemi,2 February 1975 (20),,,
3,DF,Ngozi Ezeocha,12 October 1973 (21),,,
4,FW,Adaku Okoroafor,18 November 1974 (20),,,
5,DF,Omo-Love Branch,10 January 1974 (21),,,
6,MF,Yinka Kudaisi,25 August 1975 (19),,,
7,MF,Nkechi Mbilitam,5 April 1974 (21),,,
8,MF,Rita Nwadike,11 March 1974 (21),,,
9,FW,Ngozi Eucharia Uche,18 June 1973 (21),,,
10,DF,Mavis Ogun,24 August 1973 (21),,,
11,DF,Prisca Emeafu,30 March 1972 (23),,,
12,MF,Mercy Akide,26 August 1975 (19),,,
13,MF,Nkiru Okosieme,3 January 1972 (23),,,
14,DF,Phoebe Ebimiekumo,17 January 1974 (21),,,
15,FW,Maureen Mmadu,5 July 1975 (19),,,
16,DF,Ugochi Opara,27 May 1976 (19),,,
17,GK,Louisa Akpagu,22 December 1974 (20),,,
18,MF,Patience Avre,6 October 1976 (18),,,
19,GK,Diana Nwaiwu,10 October 1973 (21),,,
20,MF,Ann Mukoro,27 May 1975 (20),,,

Norway
1,GK,Bente Nordby,23 July 1974 (20),,,Norway SK Sprint/Jeløy
2,DF,Tina Svensson,16 November 1966 (28),,,Norway Asker
3,DF,Gro Espeseth,30 October 1972 (22),,,Norway IL Sandviken
4,MF,Anne Nymark Andersen,28 September 1972 (22),,,Norway Bjørnar IL
5,DF,Nina Nymark Andersen,28 September 1972 (22),,,Norway IL Sandviken
6,MF,Hege Riise,18 July 1969 (25),,,Norway Setskog/Høland FK
7,MF,Tone Haugen,6 February 1964 (31),,,Japan Nikko Sec. Ladies FC
8,MF,Heidi Støre,4 July 1963 (31),,,Norway Kolbotn IL
9,FW,Kristin Sandberg,23 March 1972 (23),,,Norway Asker
10,FW,Linda Medalen,17 June 1965 (29),,,Japan Nikko Sec. Ladies FC
11,FW,Ann Kristin Aarønes,19 January 1973 (22),,,Norway Trondheims-Ørn SK
12,GK,Reidun Seth,9 June 1966 (28),,,Sweden Öxabäck IF
13,DF,Merete Myklebust,16 May 1973 (22),,,Norway Trondheims-Ørn SK
14,MF,Hege Gunnerød,22 November 1973 (21),,,Norway Asker
15,FW,Randi Leinan,9 April 1968 (27),,,Norway Trondheims-Ørn SK
16,FW,Marianne Pettersen,4 December 1975 (19),,,Norway Gjelleråsen IF
17,DF,Anita Waage,31 July 1971 (23),,,Norway Trondheims-Ørn SK
18,MF,Tone Gunn Frustøl,21 June 1975 (19),,,Norway FK Donn
19,DF,Agnete Carlsen,15 January 1971 (24),,,Norway Kolbotn IL
20,GK,Ingrid Sternhoff,25 February 1977 (18),,,Norway SK Haugar

Australia
1,GK,Tracey Wheeler,26 September 1967 (27),,,Australia Forrestfield United
2,DF,Sarah Cooper,10 August 1969 (25),,,Australia Mindil Aces
3,DF,Jane Oakley,25 June 1966 (28),,,Australia Berwick City
4,MF,Julie Murray,28 April 1970 (25),,,Australia Sydney Olympic
5,MF,Cheryl Salisbury,8 March 1974 (21),,,Australia Stirling Macedonia
6,DF,Anissa Tann,10 October 1967 (27),,,Australia Marconi Stallions
7,DF,Alison Forman,17 March 1969 (26),,,Denmark Fortuna Hjørring
8,DF,Sonia Gegenhuber,28 September 1970 (24),,,Australia Eastern Suburbs
9,FW,Angela Iannotta,22 March 1971 (24),,,Italy Agliana CF
10,FW,Sunni Hughes,6 September 1968 (26),,,Japan Panasonic Bambina
11,MF,Kaylene Janssen,18 August 1968 (26),,,Australia Eastern Suburbs
12,FW,Michelle Watson,17 June 1976 (18),,,Australia Marconi Stallions
13,DF,Traci Bartlett,17 May 1972 (23),,,Australia Marconi Stallions
14,MF,Denie Pentecost,23 April 1970 (25),,,Australia Sydney Olympic
15,MF,Kim Lembryk,19 February 1966 (29),,,Australia Marconi Stallions
16,FW,Lisa Casagrande,29 May 1978 (17),,,Australia Goonellabah Hornets
17,DF,Sacha Wainwright,2 June 1972 (23),,,Australia Weston Creek
18,DF,Louise McMurtrie,26 April 1976 (19),,,Australia Queensland Academy of Sport
19,FW,Lizzy Claydon,11 November 1972 (22),,,Australia Stirling Vasto
20,GK,Claire Nichols,7 August 1975 (19),,,Australia Liverpool (NSW)

China PR
1,GK,Zhong Honglian,27 October 1967 (27),,,
2,MF,Wang Liping,11 December 1973 (21),,,
3,DF,Fan Yunjie,29 April 1972 (23),,,
4,DF,Yu Hongqi,2 February 1973 (22),,,
5,MF,Zhou Yang,2 January 1971 (24),,,
6,MF,Zhou Hua,10 March 1969 (26),,,
7,FW,Wei Haiying,1 May 1971 (24),,,
8,MF,Shui Qingxia,18 December 1966 (28),,,
9,FW,Sun Wen,4 June 1973 (22),,,
10,MF,Liu Ailing,5 February 1967 (28),,,
11,MF,Sun Qingmei,19 June 1966 (28),,,
12,DF,Wen Lirong,10 February 1969 (26),,,
13,DF,Niu Lijie,4 December 1969 (25),,,
14,MF,Xie Huilin,17 January 1975 (20),,,
15,FW,Shi Guihong,13 February 1968 (27),,,
16,MF,Chen Yufeng,17 January 1970 (25),,,
17,MF,Zhao Lihong,25 December 1972 (22),,,
18,DF,Man Yanling,11 September 1972 (22),,,
19,MF,Li Ying,21 October 1973 (21),,,
20,GK,Gao Hong,27 November 1967 (27),,,

Denmark
1,GK,Dorthe Larsen,8 August 1969 (25),,,
2,MF,Louise Hansen,5 April 1975 (20),,,
3,DF,Kamma Flæng,30 March 1976 (19),,,
4,DF,Lene Terp,15 April 1973 (22),,,
5,DF,Katrine Pedersen,13 April 1977 (18),,,
6,DF,Rikke Holm,22 March 1972 (23),,,
7,MF,Annette Laursen,6 February 1975 (20),,,
8,MF,Lisbet Kolding,6 April 1965 (30),,,
9,MF,Helle Jensen,23 March 1969 (26),,,
10,MF,Birgit Christensen,31 May 1976 (19),,,
11,FW,Gitte Krogh,13 May 1977 (18),,,
12,MF,Anne Dot Eggers Nielsen,6 November 1975 (19),,,
13,FW,Christina Hansen,5 June 1970 (25),,,
14,FW,Lene Madsen,11 March 1973 (22),,,
15,MF,Christina Bonde,28 September 1973 (21),,,
16,GK,Helle Bjerregaard,21 June 1968 (26),,,
17,MF,Karina Christensen,1 July 1973 (21),,,
18,DF,Bettina Allentoft,16 November 1973 (21),,,
19,MF,Jeanne Axelsen,3 January 1968 (27),,,
20,MF,Christina Petersen,17 September 1974 (20),,,

USA 
1,GK,Briana Scurry,7 September 1971 (23),,0,United States University of Massachusetts Amherst
2,DF,Thori Staples,17 April 1974 (21),,0,United States NC State
3,MF,Holly Manthei,8 February 1976 (19),,0,United States University of Notre Dame
4,DF,Carla Overbeck,9 May 1968 (27),,2,United States University of North Carolina
5,MF,Tiffany Roberts,5 May 1977 (18),,5,United States University of North Carolina
6,FW,Debbie Keller,24 March 1975 (20),,0,United States University of North Carolina
7,FW,Sarah Rafanelli,7 June 1972 (22),,8,United States Santa Clara University
8,DF,Linda Hamilton,4 June 1969 (26),,1,United States University of North Carolina
9,MF,Mia Hamm,17 March 1972 (23),,47,United States University of North Carolina
10,FW,Michelle Akers,1 February 1966 (29),,83,United States University of Central Florida
11,MF,Julie Foudy,23 January 1971 (24),,11,United States Stanford University
12,FW,Carin Jennings-Gabarra,9 January 1965 (30),,48,United States UC Santa Barbara
13,MF,Kristine Lilly,22 July 1971 (23),,33,United States University of North Carolina
14,DF,Joy Fawcett,8 February 1968 (27),,14,United States UC Berkeley
15,MF,Tisha Venturini,3 March 1973 (22),,12,United States University of North Carolina
16,FW,Tiffeny Milbrett,23 October 1972 (22),,9,United States University of Portland
17,DF,Jennifer Lalor,5 September 1974 (20),,1,United States Santa Clara University
18,GK,Saskia Webber,13 June 1971 (23),,0,United States Rutgers University
19,MF,Amanda Cromwell,15 June 1970 (24),,1,United States University of Virginia
20,GK,Mary Harvey,4 June 1965 (30),,0,United States Santa Clara University
